account_id,price,amount
11.0,30.0,3.0
1.0,21.0,10.0
11.0,30.0,4.0
1.0,21.0,10.0
1.0,22.0,10.0
1.0,21.0,10.0
1.0,21.0,10.0
1.0,21.0,10.0
1.0,21.0,10.0
1.0,21.0,10.0
1.0,21.0,10.0
1.0,20.0,10.0
1.0,21.0,10.0
5.94165873015873,23.0,6.0
1.0,21.0,10.0
7.219535714285712,21.0,4.0
3.0,20.0,10.0
3.0,18.0,5.0
7.0,21.0,5.0
1.0,21.0,10.0
3.0,20.0,6.0
7.0,21.0,7.0
1.0,21.0,10.0
1.0,21.0,50.0
7.0,20.0,5.0
5.0,21.0,1.0
2.0,23.0,3.0
11.0,23.0,3.0
5.0,21.0,1.0
3.0,22.0,1.0
1.0,22.0,10.0
11.0,21.0,5.0
5.0,21.0,1.0
2.0,21.0,3.0
5.0,21.0,1.0
7.0,23.0,2.0
2.0,21.0,3.0
3.0,22.0,3.0
11.0,21.0,5.0
5.0,21.0,1.0
3.0,22.0,3.0
2.0,22.0,1.0
5.0,21.0,1.0
3.0,22.0,3.0
5.0,21.0,1.0
11.0,21.0,3.0
11.0,21.0,3.0
2.0,22.0,1.0
3.0,21.0,3.0
5.0,21.0,1.0
2.0,21.0,1.0
3.0,22.0,1.0
7.0,21.0,5.0
11.0,21.0,2.0
5.0,24.0,1.0
3.0,21.0,1.0
11.0,21.0,2.0
2.0,21.0,1.0
5.0,23.0,1.0
7.0,21.0,5.0
6.765887806637806,21.0,3.0
1.0,22.0,1.0
11.0,21.0,3.0
2.0,22.0,1.0
3.0,21.0,1.0
7.0,21.0,3.0
11.0,21.0,5.0
